project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	a260_a280_ratio	amount	analyte_quantity	analyte_type	analyte_type_id	analyte_volume	concentration	experimental_protocol_type	normal_tumor_genotype_snp_match	ribosomal_rna_28s_16s_ratio	rna_integrity_number	spectrophotometer_method	state	well_number
TCGA-PAAD	3a3a8fe1-e35c-45d0-aa0b-4fefa9ee9183	TCGA-US-A77J	1f0c7758-2c2a-4c39-bb82-ec1414273c41	TCGA-US-A77J-01A	8381dca3-fb98-4c74-8c1f-bcd1f4a89463	TCGA-US-A77J-01A-11	fb205eeb-bd71-4912-8e1d-e639670feb43	TCGA-US-A77J-01A-11D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	3a3a8fe1-e35c-45d0-aa0b-4fefa9ee9183	TCGA-US-A77J	b2ca1e68-1104-4e96-bb8b-e60299db349c	TCGA-US-A77J-11A	af812771-c7f3-4823-ab45-3bb6bc94b189	TCGA-US-A77J-11A-11	9799e082-ed3e-419b-94c7-f47cb72e1a7a	TCGA-US-A77J-11A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	3a3a8fe1-e35c-45d0-aa0b-4fefa9ee9183	TCGA-US-A77J	b2ca1e68-1104-4e96-bb8b-e60299db349c	TCGA-US-A77J-11A	af812771-c7f3-4823-ab45-3bb6bc94b189	TCGA-US-A77J-11A-11	9c2ab494-3346-4b4d-bbdc-6ee2204410cb	TCGA-US-A77J-11A-11D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	3e09fd70-6464-42f6-96a6-b51d7c298fc5	TCGA-H8-A6C1	1f1c87c9-3359-4c9c-8798-23e9881d6809	TCGA-H8-A6C1-10A	bc6591ca-f87c-459d-bec7-7d3a17a7fbf3	TCGA-H8-A6C1-10A-01	58d9e7ec-cf9b-42a7-80f9-6563ea25a0a6	TCGA-H8-A6C1-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	3e09fd70-6464-42f6-96a6-b51d7c298fc5	TCGA-H8-A6C1	1f1c87c9-3359-4c9c-8798-23e9881d6809	TCGA-H8-A6C1-10A	bc6591ca-f87c-459d-bec7-7d3a17a7fbf3	TCGA-H8-A6C1-10A-01	6e1d3062-c63d-43f1-8b7f-2b263c73331a	TCGA-H8-A6C1-10A-01D	'--	'--	'--	DNA	D	'--	0.15	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	3e09fd70-6464-42f6-96a6-b51d7c298fc5	TCGA-H8-A6C1	3ec700d8-4da1-4149-9c31-4d70702c5fd5	TCGA-H8-A6C1-01A	5652651e-e7b9-4b88-bee9-ec3f0f5dbf0b	TCGA-H8-A6C1-01A-11	326dcd32-90ae-4cd6-bcb8-9d5ec7a122ce	TCGA-H8-A6C1-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	3e09fd70-6464-42f6-96a6-b51d7c298fc5	TCGA-H8-A6C1	3ec700d8-4da1-4149-9c31-4d70702c5fd5	TCGA-H8-A6C1-01A	5652651e-e7b9-4b88-bee9-ec3f0f5dbf0b	TCGA-H8-A6C1-01A-11	63a10bcf-5f55-4cc9-831b-ca0de99e0c76	TCGA-H8-A6C1-01A-11D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	3e09fd70-6464-42f6-96a6-b51d7c298fc5	TCGA-H8-A6C1	3ec700d8-4da1-4149-9c31-4d70702c5fd5	TCGA-H8-A6C1-01A	5652651e-e7b9-4b88-bee9-ec3f0f5dbf0b	TCGA-H8-A6C1-01A-11	c847e773-0cdb-47c5-b4df-2b04e14e8381	TCGA-H8-A6C1-01A-11R	1.82	'--	'--	RNA	R	'--	0.18	mirVana (Allprep DNA) RNA	Yes	1.35	7.1	UV Spec	released	'--
TCGA-PAAD	a308a5ee-8ea1-47ee-823d-14736d74a925	TCGA-3A-A9J0	205aaf1a-ae50-4b4b-a4fd-1f3a4f121fd7	TCGA-3A-A9J0-10A	caa94a60-7d7b-4d7e-9b59-49c8118dbe0b	TCGA-3A-A9J0-10A-01	5b89ceaf-1f31-4e40-bbc3-48e9c78e4877	TCGA-3A-A9J0-10A-01D	'--	'--	'--	DNA	D	'--	0.14	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	a308a5ee-8ea1-47ee-823d-14736d74a925	TCGA-3A-A9J0	80020317-7212-4a7b-a30a-9875d23e1a10	TCGA-3A-A9J0-01A	5adb25d2-9367-4438-bcb5-ac55d1c938e7	TCGA-3A-A9J0-01A-11	39095774-b72d-4efc-a644-977e51b07251	TCGA-3A-A9J0-01A-11D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	a308a5ee-8ea1-47ee-823d-14736d74a925	TCGA-3A-A9J0	80020317-7212-4a7b-a30a-9875d23e1a10	TCGA-3A-A9J0-01A	5adb25d2-9367-4438-bcb5-ac55d1c938e7	TCGA-3A-A9J0-01A-11	4eed88bb-dc6a-4b06-988b-d774f9fbdf49	TCGA-3A-A9J0-01A-11R	1.86	'--	'--	RNA	R	'--	0.18	mirVana (Allprep DNA) RNA	Yes	1.43	8.0	UV Spec	released	'--
TCGA-PAAD	47cb93bc-8f6b-4b2a-804c-bb4fc78df9e1	TCGA-HZ-A49G	2b44f6c8-ec16-46b7-a810-622cb0dec3c5	TCGA-HZ-A49G-01A	7eef0840-a188-43ff-a85f-2a61653bbd63	TCGA-HZ-A49G-01A-11	2f40dfaf-0800-46f1-bf99-1af9f67a4531	TCGA-HZ-A49G-01A-11D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	47cb93bc-8f6b-4b2a-804c-bb4fc78df9e1	TCGA-HZ-A49G	2b44f6c8-ec16-46b7-a810-622cb0dec3c5	TCGA-HZ-A49G-01A	7eef0840-a188-43ff-a85f-2a61653bbd63	TCGA-HZ-A49G-01A-11	91863e29-849a-4acc-a8bc-dcdb88aefa9b	TCGA-HZ-A49G-01A-11R	2.02	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.07	7.3	UV Spec	released	'--
TCGA-PAAD	47cb93bc-8f6b-4b2a-804c-bb4fc78df9e1	TCGA-HZ-A49G	2b44f6c8-ec16-46b7-a810-622cb0dec3c5	TCGA-HZ-A49G-01A	7eef0840-a188-43ff-a85f-2a61653bbd63	TCGA-HZ-A49G-01A-11	aaa0d134-d88d-4b7b-9c36-9f4908cee1f0	TCGA-HZ-A49G-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	47cb93bc-8f6b-4b2a-804c-bb4fc78df9e1	TCGA-HZ-A49G	c05920dc-cd24-4d6c-b749-81b3833e5a95	TCGA-HZ-A49G-10A	5583c830-0144-45c1-a4da-f3dfab4971de	TCGA-HZ-A49G-10A-01	0b64fd37-5553-468c-841b-b04c6b64cf08	TCGA-HZ-A49G-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	47cb93bc-8f6b-4b2a-804c-bb4fc78df9e1	TCGA-HZ-A49G	c05920dc-cd24-4d6c-b749-81b3833e5a95	TCGA-HZ-A49G-10A	5583c830-0144-45c1-a4da-f3dfab4971de	TCGA-HZ-A49G-10A-01	c5b98e41-27e9-4a02-bc8f-1f8329c77602	TCGA-HZ-A49G-10A-01D	'--	'--	'--	DNA	D	'--	0.14	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	8e7d5615-5142-4d53-a460-2cafade1f690	TCGA-2L-AAQE	7c7fc954-db1e-44d1-8609-96ab2ddda1ae	TCGA-2L-AAQE-11A	1b57bac3-c449-4e00-9663-7752cb03918d	TCGA-2L-AAQE-11A-11	1a6d6a9a-5c9a-4aea-b9b5-eadf00bca99d	TCGA-2L-AAQE-11A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	8e7d5615-5142-4d53-a460-2cafade1f690	TCGA-2L-AAQE	7c7fc954-db1e-44d1-8609-96ab2ddda1ae	TCGA-2L-AAQE-11A	1b57bac3-c449-4e00-9663-7752cb03918d	TCGA-2L-AAQE-11A-11	6613a0c2-f1a6-4e03-8e29-b2334fa3245d	TCGA-2L-AAQE-11A-11D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	8e7d5615-5142-4d53-a460-2cafade1f690	TCGA-2L-AAQE	d5f3de1e-e4df-499f-b9c2-d1f5fb841f3d	TCGA-2L-AAQE-01A	c8e684a0-76bf-4422-8681-bd13a5f36bdc	TCGA-2L-AAQE-01A-11	0ec91aed-68b5-4ac9-a4ea-36d6b349f04f	TCGA-2L-AAQE-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	8e7d5615-5142-4d53-a460-2cafade1f690	TCGA-2L-AAQE	d5f3de1e-e4df-499f-b9c2-d1f5fb841f3d	TCGA-2L-AAQE-01A	c8e684a0-76bf-4422-8681-bd13a5f36bdc	TCGA-2L-AAQE-01A-11	219ce3da-ba2b-49ac-ac2f-1ddf4428ef5f	TCGA-2L-AAQE-01A-11D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	8e7d5615-5142-4d53-a460-2cafade1f690	TCGA-2L-AAQE	d5f3de1e-e4df-499f-b9c2-d1f5fb841f3d	TCGA-2L-AAQE-01A	c8e684a0-76bf-4422-8681-bd13a5f36bdc	TCGA-2L-AAQE-01A-11	6d0ae5b0-4cb2-4cc3-946e-0e92756190d6	TCGA-2L-AAQE-01A-11R	1.81	'--	'--	RNA	R	'--	0.15	mirVana (Allprep DNA) RNA	Yes	1.35	7.3	UV Spec	released	'--
TCGA-PAAD	8d9bd437-8b4b-4da5-87ba-6b5790f05022	TCGA-F2-6879	213cbbe5-c382-47a1-b936-bf40c2c99091	TCGA-F2-6879-10A	246a8f01-7ef2-4737-a984-49aa0b41c089	TCGA-F2-6879-10A-01	79697034-1cec-4d92-8195-8a35258ab477	TCGA-F2-6879-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	Repli-G	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	8d9bd437-8b4b-4da5-87ba-6b5790f05022	TCGA-F2-6879	213cbbe5-c382-47a1-b936-bf40c2c99091	TCGA-F2-6879-10A	246a8f01-7ef2-4737-a984-49aa0b41c089	TCGA-F2-6879-10A-01	ea65d92e-1597-410d-84d8-abb2a6235b3e	TCGA-F2-6879-10A-01D	1.9	'--	'--	DNA	D	'--	0.16	Pre-extracted DNA received by TSS	Yes	'--	'--	UV Spec	released	'--
TCGA-PAAD	8d9bd437-8b4b-4da5-87ba-6b5790f05022	TCGA-F2-6879	d43f0112-fe59-4842-9fda-1189e5fb7248	TCGA-F2-6879-01A	26441aae-22e5-4e69-b3f5-34ccde356c93	TCGA-F2-6879-01A-11	1d94bd70-6621-4a94-8102-d673663e6665	TCGA-F2-6879-01A-11D	1.9	'--	'--	DNA	D	'--	0.14	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
TCGA-PAAD	8d9bd437-8b4b-4da5-87ba-6b5790f05022	TCGA-F2-6879	d43f0112-fe59-4842-9fda-1189e5fb7248	TCGA-F2-6879-01A	26441aae-22e5-4e69-b3f5-34ccde356c93	TCGA-F2-6879-01A-11	30ade77d-996b-4031-93ab-6b341d49eb0a	TCGA-F2-6879-01A-11R	1.8	'--	'--	RNA	R	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.27	8.3	UV Spec	released	'--
TCGA-PAAD	8d9bd437-8b4b-4da5-87ba-6b5790f05022	TCGA-F2-6879	d43f0112-fe59-4842-9fda-1189e5fb7248	TCGA-F2-6879-01A	26441aae-22e5-4e69-b3f5-34ccde356c93	TCGA-F2-6879-01A-11	e87dde8d-3bf5-42d8-9a77-620d5c4943e0	TCGA-F2-6879-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	Repli-G	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	f852de27-b600-44a4-ab30-d74108dfc2e9	TCGA-LB-A8F3	218bc111-0cca-4c0c-a558-04ed01eb29b5	TCGA-LB-A8F3-10A	3c53ed3a-ba8f-46e0-a505-36d5883b74c1	TCGA-LB-A8F3-10A-01	07430c33-1f67-44c3-89b8-edb843b7645b	TCGA-LB-A8F3-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	f852de27-b600-44a4-ab30-d74108dfc2e9	TCGA-LB-A8F3	218bc111-0cca-4c0c-a558-04ed01eb29b5	TCGA-LB-A8F3-10A	3c53ed3a-ba8f-46e0-a505-36d5883b74c1	TCGA-LB-A8F3-10A-01	676ecdb2-de22-4019-968d-a27e2e6e7464	TCGA-LB-A8F3-10A-01D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	f852de27-b600-44a4-ab30-d74108dfc2e9	TCGA-LB-A8F3	d9a823d5-eb37-4bc7-98b1-bd09da314c62	TCGA-LB-A8F3-01A	121fee98-b6d1-4f94-b839-6d1aa9dcc480	TCGA-LB-A8F3-01A-11	669639e0-b864-4dc6-817b-596c1a8961bd	TCGA-LB-A8F3-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	f852de27-b600-44a4-ab30-d74108dfc2e9	TCGA-LB-A8F3	d9a823d5-eb37-4bc7-98b1-bd09da314c62	TCGA-LB-A8F3-01A	121fee98-b6d1-4f94-b839-6d1aa9dcc480	TCGA-LB-A8F3-01A-11	e8bab9f7-d63e-4819-9fd9-6a5920216e8e	TCGA-LB-A8F3-01A-11D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	f852de27-b600-44a4-ab30-d74108dfc2e9	TCGA-LB-A8F3	d9a823d5-eb37-4bc7-98b1-bd09da314c62	TCGA-LB-A8F3-01A	121fee98-b6d1-4f94-b839-6d1aa9dcc480	TCGA-LB-A8F3-01A-11	f5bfe917-1e56-44bc-a830-25153ad639bd	TCGA-LB-A8F3-01A-11R	1.84	'--	'--	RNA	R	'--	0.15	mirVana (Allprep DNA) RNA	Yes	1.09	7.3	UV Spec	released	'--
TCGA-PAAD	886d6116-d496-444f-9b7b-7449dad31055	TCGA-2J-AABF	22b8698c-d821-4d97-b4c8-23607b4cabc9	TCGA-2J-AABF-01A	35269b50-abae-4256-a885-050a7782d2c4	TCGA-2J-AABF-01A-31	97690c42-d745-4d2b-9046-d9a3b6ed9876	TCGA-2J-AABF-01A-31D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	886d6116-d496-444f-9b7b-7449dad31055	TCGA-2J-AABF	22b8698c-d821-4d97-b4c8-23607b4cabc9	TCGA-2J-AABF-01A	35269b50-abae-4256-a885-050a7782d2c4	TCGA-2J-AABF-01A-31	97a44ba7-2cc3-48d5-af7b-dc06254eba18	TCGA-2J-AABF-01A-31R	1.83	'--	'--	RNA	R	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.37	7.7	UV Spec	released	'--
TCGA-PAAD	886d6116-d496-444f-9b7b-7449dad31055	TCGA-2J-AABF	8c0655ed-5bc3-4d90-bd34-2dd7fc846573	TCGA-2J-AABF-10A	d71a1df9-f0d8-42ea-85c0-636cbbd4a21d	TCGA-2J-AABF-10A-01	bd808b45-c13d-4de4-97f1-440279bef975	TCGA-2J-AABF-10A-01D	'--	'--	'--	DNA	D	'--	0.16	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	ad220f0d-06b7-4dad-a87d-36dff31c8623	TCGA-HZ-7924	22baaa28-86d9-4ade-989c-6d5652818a4d	TCGA-HZ-7924-10A	9b5ed64a-8168-458b-abc7-4f8f3db4fba9	TCGA-HZ-7924-10A-01	0e55274e-4a18-44fd-9008-a90d2338c043	TCGA-HZ-7924-10A-01D	'--	'--	'--	DNA	D	'--	0.15	Chemical Lysis DNA Extraction	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	ad220f0d-06b7-4dad-a87d-36dff31c8623	TCGA-HZ-7924	22baaa28-86d9-4ade-989c-6d5652818a4d	TCGA-HZ-7924-10A	9b5ed64a-8168-458b-abc7-4f8f3db4fba9	TCGA-HZ-7924-10A-01	9c9c3960-677d-4575-a956-51b9bea53dfb	TCGA-HZ-7924-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	Repli-G	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	ad220f0d-06b7-4dad-a87d-36dff31c8623	TCGA-HZ-7924	e749babb-81d9-4b12-b7c7-d9c5e4926d1b	TCGA-HZ-7924-01A	a0ed4135-7b9b-466c-b3a8-dd0f75a6e3b6	TCGA-HZ-7924-01A-11	3be46980-1ea4-4048-a9cc-c93d1f26cea6	TCGA-HZ-7924-01A-11D	'--	'--	'--	DNA	D	'--	0.14	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	ad220f0d-06b7-4dad-a87d-36dff31c8623	TCGA-HZ-7924	e749babb-81d9-4b12-b7c7-d9c5e4926d1b	TCGA-HZ-7924-01A	a0ed4135-7b9b-466c-b3a8-dd0f75a6e3b6	TCGA-HZ-7924-01A-11	420b185f-8e99-4b4d-bb09-e3c3f1292000	TCGA-HZ-7924-01A-11R	'--	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.83	9.2	UV Spec	released	'--
TCGA-PAAD	ad220f0d-06b7-4dad-a87d-36dff31c8623	TCGA-HZ-7924	e749babb-81d9-4b12-b7c7-d9c5e4926d1b	TCGA-HZ-7924-01A	a0ed4135-7b9b-466c-b3a8-dd0f75a6e3b6	TCGA-HZ-7924-01A-11	5315a157-fdb3-4fe6-9e22-401aeb15678b	TCGA-HZ-7924-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	Repli-G	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	959e1f13-360e-4e12-add5-bf9a376990d2	TCGA-3A-A9IX	77848ff8-48bc-434d-a393-b295a3bf71f5	TCGA-3A-A9IX-01A	e72f22ce-a9af-420d-a6cc-6b50dedd6434	TCGA-3A-A9IX-01A-11	c138cc5a-b267-4f21-b092-d0047fed6e8b	TCGA-3A-A9IX-01A-11D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	959e1f13-360e-4e12-add5-bf9a376990d2	TCGA-3A-A9IX	77848ff8-48bc-434d-a393-b295a3bf71f5	TCGA-3A-A9IX-01A	e72f22ce-a9af-420d-a6cc-6b50dedd6434	TCGA-3A-A9IX-01A-11	d6fe5f32-66f0-4fe6-b6a9-b8de3362524b	TCGA-3A-A9IX-01A-11R	1.89	'--	'--	RNA	R	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.1	7.4	UV Spec	released	'--
TCGA-PAAD	959e1f13-360e-4e12-add5-bf9a376990d2	TCGA-3A-A9IX	9b041a40-a06b-4aca-bdce-b29cfb0b07bf	TCGA-3A-A9IX-10A	2e59195b-f4a5-44b1-9c81-d7a1403c0a9a	TCGA-3A-A9IX-10A-01	4416811a-5944-42e0-99b0-f71dc3fd49ba	TCGA-3A-A9IX-10A-01D	'--	'--	'--	DNA	D	'--	0.16	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	4a60e87e-6bc1-4ae0-9ccb-4cdc3e99c608	TCGA-OE-A75W	22f07eee-f10e-401d-b311-42a62d1a25ad	TCGA-OE-A75W-01A	77e6b7c0-1cf7-4282-a636-25bfa29c4e83	TCGA-OE-A75W-01A-12	657a97ad-7533-44cb-b04c-90176fb77512	TCGA-OE-A75W-01A-12W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	4a60e87e-6bc1-4ae0-9ccb-4cdc3e99c608	TCGA-OE-A75W	22f07eee-f10e-401d-b311-42a62d1a25ad	TCGA-OE-A75W-01A	77e6b7c0-1cf7-4282-a636-25bfa29c4e83	TCGA-OE-A75W-01A-12	9e5a80d3-2975-4817-ac6b-1336fcfb5f22	TCGA-OE-A75W-01A-12D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	4a60e87e-6bc1-4ae0-9ccb-4cdc3e99c608	TCGA-OE-A75W	22f07eee-f10e-401d-b311-42a62d1a25ad	TCGA-OE-A75W-01A	77e6b7c0-1cf7-4282-a636-25bfa29c4e83	TCGA-OE-A75W-01A-12	b9111e33-0317-4294-bc1e-da7accd849bb	TCGA-OE-A75W-01A-12R	1.84	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	0.68	7.4	UV Spec	released	'--
TCGA-PAAD	4a60e87e-6bc1-4ae0-9ccb-4cdc3e99c608	TCGA-OE-A75W	82a75365-01d1-48ab-a53b-dae102921528	TCGA-OE-A75W-10A	8864cf5b-c697-44d2-8587-d97986a529aa	TCGA-OE-A75W-10A-01	58325c9e-ac49-457c-9331-d0a525a57e81	TCGA-OE-A75W-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	4a60e87e-6bc1-4ae0-9ccb-4cdc3e99c608	TCGA-OE-A75W	82a75365-01d1-48ab-a53b-dae102921528	TCGA-OE-A75W-10A	8864cf5b-c697-44d2-8587-d97986a529aa	TCGA-OE-A75W-10A-01	935cb58d-541d-433f-858f-000c87abb2fb	TCGA-OE-A75W-10A-01D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	712c2f78-c736-42ce-b689-a954c5290987	TCGA-IB-A7LX	2334aa53-5e49-4995-8c69-c0d082c81d90	TCGA-IB-A7LX-10A	d8437674-9dfb-4a43-b548-e843de2fe7d0	TCGA-IB-A7LX-10A-01	70fe2fd1-64cb-42e4-a44d-91ce30f2a996	TCGA-IB-A7LX-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	712c2f78-c736-42ce-b689-a954c5290987	TCGA-IB-A7LX	2334aa53-5e49-4995-8c69-c0d082c81d90	TCGA-IB-A7LX-10A	d8437674-9dfb-4a43-b548-e843de2fe7d0	TCGA-IB-A7LX-10A-01	8c315779-6211-4fbd-a97f-5a42db9bccc7	TCGA-IB-A7LX-10A-01D	'--	'--	'--	DNA	D	'--	0.15	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	712c2f78-c736-42ce-b689-a954c5290987	TCGA-IB-A7LX	d27fd323-24c9-4654-a8d5-42da2c54f294	TCGA-IB-A7LX-01A	58f2d18a-d2fb-49e6-b6b9-b511597fef38	TCGA-IB-A7LX-01A-12	a63fe9a3-c577-4e61-950a-e5af90651545	TCGA-IB-A7LX-01A-12D	'--	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	712c2f78-c736-42ce-b689-a954c5290987	TCGA-IB-A7LX	d27fd323-24c9-4654-a8d5-42da2c54f294	TCGA-IB-A7LX-01A	58f2d18a-d2fb-49e6-b6b9-b511597fef38	TCGA-IB-A7LX-01A-12	b4aa9037-0654-4711-8287-76cea089e7f5	TCGA-IB-A7LX-01A-12R	1.83	'--	'--	RNA	R	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.81	7.9	UV Spec	released	'--
TCGA-PAAD	712c2f78-c736-42ce-b689-a954c5290987	TCGA-IB-A7LX	d27fd323-24c9-4654-a8d5-42da2c54f294	TCGA-IB-A7LX-01A	58f2d18a-d2fb-49e6-b6b9-b511597fef38	TCGA-IB-A7LX-01A-12	cf7aa109-d39a-43c0-a82e-4cba252e9301	TCGA-IB-A7LX-01A-12W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	c53d66d9-ad9a-417e-a441-df5bcf1ae13f	TCGA-RL-AAAS	23e12220-7a50-4049-94fc-5523af953e93	TCGA-RL-AAAS-10A	a9bb78cf-717b-4868-b5bf-d1daea520363	TCGA-RL-AAAS-10A-01	69d2c435-8dad-40d0-a313-3e503eebea31	TCGA-RL-AAAS-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	c53d66d9-ad9a-417e-a441-df5bcf1ae13f	TCGA-RL-AAAS	23e12220-7a50-4049-94fc-5523af953e93	TCGA-RL-AAAS-10A	a9bb78cf-717b-4868-b5bf-d1daea520363	TCGA-RL-AAAS-10A-01	f98bcf63-39c6-439b-aeca-56a671cece6c	TCGA-RL-AAAS-10A-01D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	c53d66d9-ad9a-417e-a441-df5bcf1ae13f	TCGA-RL-AAAS	a3de4634-8acb-47de-8986-1478626464bc	TCGA-RL-AAAS-01A	ec5c3652-0e67-40ca-b0b0-698480fe3329	TCGA-RL-AAAS-01A-32	39f2bb1b-e02e-4115-b502-27d546c085ae	TCGA-RL-AAAS-01A-32W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	c53d66d9-ad9a-417e-a441-df5bcf1ae13f	TCGA-RL-AAAS	a3de4634-8acb-47de-8986-1478626464bc	TCGA-RL-AAAS-01A	ec5c3652-0e67-40ca-b0b0-698480fe3329	TCGA-RL-AAAS-01A-32	558d38d9-8b52-4c77-b53b-efac11acd3b3	TCGA-RL-AAAS-01A-32D	'--	'--	'--	DNA	D	'--	0.14	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	c53d66d9-ad9a-417e-a441-df5bcf1ae13f	TCGA-RL-AAAS	a3de4634-8acb-47de-8986-1478626464bc	TCGA-RL-AAAS-01A	ec5c3652-0e67-40ca-b0b0-698480fe3329	TCGA-RL-AAAS-01A-32	e9b3eb64-5ceb-4ee1-ab99-313caf2fd5cb	TCGA-RL-AAAS-01A-32R	1.85	'--	'--	RNA	R	'--	0.15	mirVana (Allprep DNA) RNA	Yes	1.58	8.4	UV Spec	released	'--
